 ¹ |Applications received|Applications denied| % |Max package size|Buffer Usage|
311|                    2|                  3|150|               0|      0.0000|
313|                    0|                  1|inf|               0|      0.0000|
314|                    0|                  1|inf|               0|      0.0000|
316|                    1|                  2|200|               0|      0.0000|
318|                    0|                  1|inf|               0|      0.0000|
319|                    0|                  1|inf|               0|      0.0000|
322|                    0|                  1|inf|               0|     10.0000|
323|                    1|                  2|200|               0|     10.0000|
325|                    0|                  1|inf|               0|      0.0000|
330|                    2|                  3|150|               0|     10.5556|
339|                    0|                  1|inf|               0|      0.0000|
341|                    0|                  1|inf|               0|      0.0000|
344|                    0|                  1|inf|               0|      0.0000|
346|                    2|                  2|100|               0|     11.2500|
350|                    2|                  3|150|               0|      0.0000|
360|                    3|                  4|134|               0|      0.0000|
361|                    1|                  2|200|               0|      0.0000|
362|                    0|                  1|inf|               0|      0.0000|
365|                    0|                  1|inf|               0|      0.0000|
372|                    0|                  1|inf|               0|      0.0000|
374|                    0|                  1|inf|               0|      0.0000|
376|                    0|                  1|inf|               0|      0.0000|
378|                    0|                  1|inf|               0|      0.0000|
379|                    0|                  1|inf|               0|      0.0000|
381|                    1|                  2|200|               0|     10.0000|
382|                    2|                  3|150|               0|      0.0000|
383|                    0|                  1|inf|               0|     10.0000|
384|                    1|                  2|200|               0|      0.0000|
386|                    0|                  1|inf|               0|      0.0000|
387|                    0|                  1|inf|               0|      0.0000|
389|                    1|                  1|100|               1|     10.0000|
390|                    2|                  3|150|               0|      0.0000|
391|                    1|                  2|200|               0|      0.0000|
392|                    2|                  3|150|               0|     10.0000|
395|                    0|                  1|inf|               0|      0.0000|
396|                    0|                  1|inf|               0|      0.0000|
399|                    1|                  2|200|               0|      0.0000|
400|                    0|                  1|inf|               0|      0.0000|
401|                    0|                  1|inf|               0|      0.0000|
402|                    0|                  1|inf|               0|     10.0000|
403|                    1|                  2|200|               0|     11.1111|
405|                    0|                  1|inf|               0|      0.0000|
407|                    0|                  1|inf|               0|     11.1111|
408|                    1|                  2|200|               0|      0.0000|
409|                    1|                  2|200|               0|      0.0000|
414|                    0|                  1|inf|               0|     11.1111|
415|                    0|                  1|inf|               0|      0.0000|
420|                    0|                  1|inf|               0|     11.1111|
422|                    0|                  1|inf|               0|     11.1111|
426|                    2|                  3|150|               0|     10.8333|
427|                    1|                  2|200|               0|     10.0000|
439|                    0|                  1|inf|               0|      0.0000|
